country,flight
Япония,45969.0
Южная Корея,36309.0
Эстония,9475.0
Швеция,7366.0
Швейцария,11395.0
Чехия,7782.0
Черногория,8755.0
Хорватия,10495.0
Франция,24051.0
Финляндия,11176.0
Узбекистан,14064.0
Турция,12136.0
Тунис,38420.0
Таиланд,18548.0
Таджикистан,15588.0
Соединенные Штаты Америки,32878.0
Словения,19060.0
Словакия,3549.0
Сингапур,34083.0
Сербия,9706.0
Румыния,13228.0
Португалия,24045.0
Польша,13186.0
Объединенные Арабские Эмираты,22439.0
Норвегия,9050.0
Нидерланды,16651.0
Монголия,27732.0
Молдавия,4956.0
Марокко,21058.0
Мальта,18849.0
Мальдивы,27616.0
Литва,6080.0
Ливан,17810.0
Латвия,10081.0
Куба,26798.0
Китай,26528.0
Киргизия,9579.0
Кипр,11037.0
Катар,42265.0
Казахстан,12883.0
Италия,19096.0
Испания,14972.0
Ирландия,12667.0
Иран,13950.0
Иордания,25353.0
Индия,12741.0
Израиль,16166.0
Доминиканская Республика,73544.0
Дания,8501.0
Грузия,8265.0
Греция,11180.0
Германия,12518.0
Вьетнам,15882.0
Венгрия,8410.0
Великобритания,30651.0
Болгария,3515.0
Бельгия,8410.0
Беларусь,4563.0
Бахрейн,22369.0
Армения,7391.0
Алжир,26685.0
Азербайджан,5783.0
Австрия,9830.0
