country,flight,0 руб. - 3 500 руб. за ночь,3 500 руб. - 7 000 руб. за ночь,7 000 руб. - 10 000 руб. за ночь,10 000 руб. - 14 000 руб. за ночь,14 000 руб. + за ночь
Япония,45969.0,0.12,0.29,0.24,0.19,0.16
Южная Корея,36309.0,0.27,0.4,0.18,0.09,0.05
Эстония,9475.0,0.11,0.41,0.26,0.15,0.07
Швеция,7366.0,0.07,0.02,0.09,0.31,0.51
Швейцария,11395.0,0.02,0.09,0.24,0.32,0.34
Чехия,7782.0,0.1,0.28,0.25,0.2,0.17
Черногория,8755.0,0.37,0.4,0.14,0.04,0.05
Хорватия,10495.0,0.17,0.46,0.22,0.09,0.07
Франция,24051.0,0.02,0.23,0.28,0.25,0.22
Финляндия,11176.0,0.02,0.08,0.19,0.35,0.36
Узбекистан,14064.0,0.44,0.33,0.12,0.06,0.05
Турция,12136.0,0.26,0.36,0.17,0.11,0.09
Тунис,38420.0,0.2,0.3,0.26,0.17,0.07
Таиланд,18548.0,0.53,0.25,0.1,0.07,0.05
Таджикистан,15588.0,0.36,0.4,0.1,0.07,0.06
Соединенные Штаты Америки,32878.0,0.01,0.09,0.16,0.24,0.5
Словения,19060.0,0.12,0.34,0.29,0.16,0.09
Словакия,3549.0,0.18,0.44,0.19,0.12,0.06
Сингапур,34083.0,0.16,0.27,0.22,0.19,0.16
Сербия,9706.0,0.54,0.34,0.07,0.03,0.02
Румыния,13228.0,0.36,0.39,0.15,0.07,0.04
Португалия,24045.0,0.1,0.23,0.25,0.24,0.18
Польша,13186.0,0.27,0.52,0.13,0.06,0.02
Объединенные Арабские Эмираты,22439.0,0.08,0.27,0.23,0.21,0.21
Норвегия,9050.0,0.02,0.06,0.22,0.31,0.38
Нидерланды,16651.0,0.01,0.05,0.06,0.26,0.61
Монголия,27732.0,0.45,0.27,0.14,0.09,0.06
Молдавия,4956.0,0.54,0.3,0.09,0.04,0.02
Марокко,21058.0,0.07,0.37,0.25,0.2,0.11
Мальта,18849.0,0.12,0.14,0.14,0.19,0.4
Мальдивы,27616.0,0.06,0.23,0.22,0.15,0.33
Литва,6080.0,0.26,0.46,0.18,0.07,0.03
Ливан,17810.0,0.03,0.26,0.27,0.24,0.2
Латвия,10081.0,0.27,0.41,0.15,0.1,0.07
Куба,26798.0,0.61,0.25,0.07,0.04,0.03
Китай,26528.0,0.33,0.33,0.15,0.1,0.08
Киргизия,9579.0,0.64,0.23,0.06,0.03,0.03
Кипр,11037.0,0.1,0.41,0.2,0.14,0.14
Катар,42265.0,0.06,0.25,0.23,0.24,0.22
Казахстан,12883.0,0.42,0.41,0.1,0.04,0.03
Италия,19096.0,0.05,0.34,0.28,0.18,0.14
Испания,14972.0,0.05,0.2,0.26,0.26,0.23
Ирландия,12667.0,0.05,0.05,0.03,0.13,0.75
Иран,13950.0,0.0,0.1,0.3,0.5,0.1
Иордания,25353.0,0.32,0.38,0.17,0.09,0.04
Индия,12741.0,0.61,0.23,0.08,0.04,0.05
Израиль,16166.0,0.04,0.14,0.26,0.27,0.3
Доминиканская Республика,73544.0,0.24,0.24,0.17,0.16,0.2
Дания,8501.0,0.01,0.12,0.15,0.22,0.5
Грузия,8265.0,0.5,0.39,0.07,0.03,0.01
Греция,11180.0,0.18,0.37,0.19,0.13,0.12
Германия,12518.0,0.05,0.26,0.26,0.23,0.19
Вьетнам,15882.0,0.57,0.27,0.08,0.04,0.03
Венгрия,8410.0,0.14,0.41,0.22,0.13,0.09
Великобритания,30651.0,0.03,0.15,0.23,0.27,0.32
Болгария,3515.0,0.49,0.38,0.08,0.03,0.02
Бельгия,8410.0,0.06,0.34,0.3,0.19,0.11
Беларусь,4563.0,0.5,0.36,0.08,0.03,0.03
Бахрейн,22369.0,0.01,0.16,0.28,0.28,0.28
Армения,7391.0,0.47,0.36,0.08,0.04,0.04
Алжир,26685.0,0.08,0.3,0.3,0.19,0.13
Азербайджан,5783.0,0.38,0.36,0.13,0.06,0.07
Австрия,9830.0,0.03,0.29,0.31,0.24,0.13
